Ticker,Company Name,Year,Age(C1),DER(C2),Size(C3),Affiliation(C4),PIAC(C5),ROA(FP1),TOBIN'S Q(FP2),ROE(FP3),Asset Utilization(SCA1),VACA(IC1),VAHU(IC2),STVA(IC3),VAIC(IC4)
GTBO,GARDA TUJUH BUANA TBK. PT,2012,16,1.16,28.10,0,0.67,0.25,6.47,0.55,0.50,0.419,17.322,0.942,18.683
GTBO,GARDA TUJUH BUANA TBK. PT,2013,17,0.21,27.55,0,0.67,-0.07,3.76,-0.08,0.32,0.473,19.457,0.949,20.879
GTBO,GARDA TUJUH BUANA TBK. PT,2014,18,0.18,27.59,0,0.67,-0.06,1.06,-0.07,0.37,0.578,10.418,0.904,11.899
GTBO,GARDA TUJUH BUANA TBK. PT,2015,19,0.14,27.41,0,0.67,-0.27,0.91,-0.30,0.02,0.330,11.416,0.912,12.658
GTBO,GARDA TUJUH BUANA TBK. PT,2016,20,0.16,27.32,0,0.67,-0.09,1.02,-0.11,0.00,0.146,17.756,0.944,18.845
GTBO,GARDA TUJUH BUANA TBK. PT,2017,21,0.25,27.41,0,0.67,0.00,0.73,0.00,0.16,0.219,10.726,0.907,11.852
GTBO,GARDA TUJUH BUANA TBK. PT,2018,22,0.23,27.48,0,0.67,0.04,0.89,0.05,0.58,0.693,31.749,0.969,33.411
GTBO,GARDA TUJUH BUANA TBK. PT,2019,23,0.29,27.36,0,0.67,-0.07,0.73,-0.09,0.28,0.373,29.577,0.966,30.916
GTBO,GARDA TUJUH BUANA TBK. PT,2020,24,0.34,27.40,0,0.00,-0.02,0.49,-0.03,0.00,0.047,2.809,0.644,3.500
GTBO,GARDA TUJUH BUANA TBK. PT,2021,25,0.39,27.43,0,0.00,0.00,0.50,-0.01,0.07,0.096,6.323,0.842,7.260
GTSI,GTS INTERNASIONAL TBK.. PT,2021,9,1.68,28.24,1,0.67,-0.13,1.20,-0.34,0.24,0.897,25.462,0.961,27.319
GTSI,GTS INTERNASIONAL TBK.. PT,2022,10,1.17,28.30,1,0.67,0.04,0.97,0.09,0.33,0.652,5.808,0.828,7.288
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2013,23,8.92,28.11,1,0.00,0.02,1.75,0.19,0.40,3.514,15.166,0.934,19.615
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2014,24,6.12,28.10,1,0.00,0.01,3.99,0.07,0.50,3.071,16.910,0.941,20.922
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2017,25,3.23,28.50,1,0.00,0.04,2.94,0.17,0.39,1.435,4.396,0.773,6.604
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2018,26,2.70,28.70,0,0.67,0.06,2.47,0.23,0.42,1.165,14.406,0.931,16.502
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2019,27,2.24,28.67,1,0.67,0.06,2.51,0.21,0.42,1.076,12.929,0.923,14.928
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2020,28,2.28,28.78,1,0.67,0.03,1.79,0.11,0.41,1.088,15.610,0.936,17.635
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2021,29,2.52,28.79,1,0.67,-0.06,1.57,-0.20,0.38,1.390,17.751,0.944,20.085
HITS,HUMPUSS INTERMODA TRANSPORTASI TBK,2022,30,1.88,28.92,1,0.67,0.05,1.37,0.14,0.49,1.149,17.399,0.943,19.490
HRUM,HARUM ENERGY TBK.. PT,2012,17,0.26,29.25,1,0.67,0.24,3.33,0.31,1.94,2.030,23.068,0.957,26.054
HRUM,HARUM ENERGY TBK.. PT,2013,18,0.22,29.23,1,0.67,0.09,1.46,0.10,1.76,2.028,45.079,0.978,48.085
HRUM,HARUM ENERGY TBK.. PT,2014,19,0.23,29.29,1,0.67,0.00,1.00,0.00,1.08,1.308,32.230,0.969,34.506
HRUM,HARUM ENERGY TBK.. PT,2015,20,0.11,29.26,1,0.67,-0.05,0.45,-0.06,0.66,0.763,22.035,0.955,23.752
HRUM,HARUM ENERGY TBK.. PT,2016,21,0.16,29.34,1,0.67,0.03,1.18,0.04,0.53,0.562,17.581,0.943,19.086
HRUM,HARUM ENERGY TBK.. PT,2017,22,0.16,29.46,1,0.67,0.10,1.03,0.11,0.71,0.675,24.161,0.959,25.794
HRUM,HARUM ENERGY TBK.. PT,2018,23,0.21,29.56,0,0.33,0.07,0.73,0.08,0.72,0.786,17.801,0.944,19.531
HRUM,HARUM ENERGY TBK.. PT,2019,24,0.12,29.46,1,0.33,0.05,0.68,0.05,0.59,0.650,15.949,0.937,17.536
HRUM,HARUM ENERGY TBK.. PT,2020,25,0.10,29.58,1,0.33,0.12,1.23,0.13,0.32,0.362,10.707,0.907,11.976
HRUM,HARUM ENERGY TBK.. PT,2021,26,0.34,30.16,1,0.33,0.11,2.49,0.15,0.38,0.319,16.177,0.938,17.434
HRUM,HARUM ENERGY TBK.. PT,2022,27,0.29,30.63,1,0.33,0.30,1.31,0.38,0.71,0.458,29.840,0.966,31.265
INDY,INDIKA ENERGY TBK. PT,2012,12,1.95,30.72,1,0.67,0.03,0.99,0.09,0.32,0.877,3.439,0.709,5.025
INDY,INDIKA ENERGY TBK. PT,2013,13,1.44,30.82,1,0.67,-0.03,0.70,-0.07,0.37,1.064,4.416,0.774,6.253
INDY,INDIKA ENERGY TBK. PT,2014,14,1.51,30.93,1,0.67,-0.01,0.69,-0.03,0.48,1.419,5.721,0.825,7.965
